2026-03-27 22:44:18 | INFO    | Trial 24 | Starting | Params: {'alpha': 0.06477512620228919, 'gamma': 0.8841029762744035, 'epsilon': 1.0, 'epsilon_decay': 0.9944663421023329, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:44:47 | INFO    | Trial 25 | Starting | Params: {'alpha': 0.06330790524641827, 'gamma': 0.8918137717610546, 'epsilon': 1.0, 'epsilon_decay': 0.9944770709351546, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:45:17 | INFO    | Trial 18 | Finished | Score: -468.06
2026-03-27 22:45:40 | INFO    | Trial 19 | Finished | Score: -489.54
2026-03-27 22:45:58 | INFO    | Trial 26 | Starting | Params: {'alpha': 0.06620756245558607, 'gamma': 0.8922552569273884, 'epsilon': 1.0, 'epsilon_decay': 0.9948270959290504, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:46:31 | INFO    | Trial 27 | Starting | Params: {'alpha': 0.059991203288022286, 'gamma': 0.8875432449558232, 'epsilon': 1.0, 'epsilon_decay': 0.9950914576920864, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:46:35 | INFO    | Trial 20 | Finished | Score: -478.38
2026-03-27 22:46:52 | INFO    | Trial 21 | Finished | Score: -428.28
2026-03-27 22:47:11 | INFO    | Trial 28 | Starting | Params: {'alpha': 0.06576779661463683, 'gamma': 0.8835906027542457, 'epsilon': 1.0, 'epsilon_decay': 0.9953641254416952, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:47:13 | INFO    | Trial 22 | Finished | Score: -380.50
2026-03-27 22:47:22 | INFO    | Trial 23 | Finished | Score: -483.20
2026-03-27 22:47:38 | INFO    | Trial 29 | Starting | Params: {'alpha': 0.05906919954198938, 'gamma': 0.8451068231221163, 'epsilon': 1.0, 'epsilon_decay': 0.9931765489136626, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:47:48 | INFO    | Trial 24 | Finished | Score: -364.60
2026-03-27 22:47:50 | INFO    | Trial 30 | Starting | Params: {'alpha': 0.0682667505512127, 'gamma': 0.9369967618030095, 'epsilon': 1.0, 'epsilon_decay': 0.9930715691360656, 'epsilon_min': 0.01, 'n_episodes': 400}
